x,y
9.705254637368938120e+01,2.812244690184288132e+00
9.838663050118023534e+01,2.833066030502688903e+00
9.972071462867111791e+01,2.813243305069620170e+00
1.010547987561620005e+02,3.139728783989984784e+00
1.023888828836528830e+02,2.649839995374568158e+00
1.037229670111437656e+02,2.852528022805372654e+00
1.050570511386346482e+02,1.994876206947693742e+00
1.063911352661255307e+02,2.866535026307123424e+00
1.077252193936164133e+02,1.727405788321296320e+00
1.090593035211072959e+02,2.610735644204011496e+00
1.103933876485981784e+02,2.813916380300702791e+00
1.117274717760890610e+02,2.607053526763381868e+00
1.130615559035799436e+02,2.812315077136558372e+00
1.143956400310708261e+02,3.128321698537710471e+00
1.157297241585617087e+02,2.849404601798386061e+00
1.170638082860525913e+02,2.873248181879884733e+00
1.183978924135434738e+02,2.867867979215738661e+00
1.197319765410343564e+02,2.816771451052158870e+00
1.210660606685252390e+02,2.083528573331851597e+00
1.224001447960161215e+02,2.917050862114547005e+00
1.237342289235070041e+02,3.152666785654131054e+00
1.250683130509978866e+02,2.701750372673804357e+00
1.264023971784887408e+02,2.858990424860671453e+00
1.277364813059796234e+02,2.807660739917697601e+00
1.290705654334705059e+02,2.811065708733763824e+00
1.304046495609613885e+02,2.576624367460095932e+00
1.317387336884522711e+02,2.850675966123766614e+00
1.330728178159431536e+02,1.739274788147851858e+00
1.344069019434340362e+02,2.691825812403684459e+00
1.357409860709249187e+02,1.507547743721106670e+00
1.370750701984158013e+02,2.387089901734786856e+00
1.384091543259066839e+02,2.436162805020625655e+00
1.397432384533975664e+02,2.824298455760543725e+00
1.410773225808884490e+02,2.836224644985808840e+00
1.424114067083793316e+02,2.607928964482240985e+00
1.437454908358702141e+02,2.665179951784890644e+00
1.450795749633610967e+02,2.602302407485149516e+00
1.464136590908519793e+02,2.836044278420616127e+00
1.477477432183428618e+02,2.371991900472849579e+00
1.490818273458337444e+02,2.857301138006188790e+00
1.504159114733246270e+02,2.509747964434570378e+00
1.517499956008155095e+02,2.600643914922284861e+00
1.530840797283063921e+02,2.828363302254142120e+00
1.544181638557972462e+02,2.383816908454226891e+00
1.557522479832881288e+02,1.998197591257940386e+00
1.570863321107790114e+02,2.592281065155693121e+00
1.584204162382698939e+02,2.471730211839593849e+00
1.597545003657607765e+02,2.377345708029892979e+00
1.610885844932516875e+02,2.600762692904231344e+00
1.624226686207425416e+02,1.452984658158224862e+00
1.637567527482334242e+02,2.576993898959530238e+00
1.650908368757243068e+02,2.359256261296477142e+00
1.664249210032151893e+02,2.317142867916310855e+00
1.677590051307060719e+02,1.775075351746201680e+00
1.690930892581969545e+02,1.753088227530894105e+00
1.704271733856878370e+02,1.727238619309654943e+00
1.717612575131787196e+02,2.360615609312193719e+00
1.730953416406696022e+02,1.453037448372427765e+00
1.744294257681604847e+02,2.385704158611968495e+00
1.757635098956513673e+02,2.354628319184718155e+00
1.770975940231422499e+02,3.127380273051099557e+00
1.784316781506331324e+02,2.366308154077038317e+00
1.797657622781240150e+02,2.404501874052553667e+00
1.810998464056148975e+02,2.369172023197528176e+00
1.824339305331057801e+02,2.287056845005445371e+00
1.837680146605966627e+02,1.320846352824704306e+00
1.851020987880875452e+02,6.387791885894035238e-01
1.864361829155784278e+02,1.847670694643637646e+00
1.877702670430693104e+02,1.649456637866502318e+00
1.891043511705601929e+02,1.590828705810173105e+00
1.904384352980510471e+02,1.479564531009221140e+00
1.917725194255419296e+02,1.997748874437218491e+00
1.931066035530328122e+02,1.409208373030797601e+00
1.944406876805236948e+02,1.054541718095244551e+00
1.957747718080145773e+02,1.257612474579006046e+00
1.971088559355054599e+02,1.504164770827624675e+00
1.984429400629963425e+02,1.037503676461346114e+00
1.997770241904872250e+02,1.254660621768170836e+00
2.011111083179781076e+02,1.068909454727363872e+00
2.024451924454689902e+02,1.069881674505607005e+00
2.037792765729598727e+02,1.086369818074867544e+00
2.051133607004507553e+02,1.886304333070973893e+00
2.064474448279416379e+02,1.139846305062069298e+00
2.077815289554325204e+02,2.544475127010741744e+00
2.091156130829234030e+02,1.750162769827124043e+00
2.104496972104142856e+02,1.146726629646482198e+00
2.117837813379051681e+02,2.000537957420921220e+00
2.131178654653960507e+02,1.475244531813646232e+00
2.144519495928869333e+02,1.485710191779306077e+00
2.157860337203778158e+02,1.159440272900307045e+00
2.171201178478686984e+02,1.999051033054215720e+00
2.184542019753595525e+02,1.696985427387071921e+00
2.197882861028504351e+02,1.067435727914173071e+00
2.211223702303413177e+02,2.340053820880293234e+00
2.224564543578322002e+02,1.328135801569150454e+00
2.237905384853230828e+02,1.454977488744372494e+00
2.251246226128139654e+02,1.715382817036638974e+00
2.264587067403048479e+02,2.356599153848281336e+00
2.277927908677957305e+02,1.286277560890998872e+00
2.291268749952866131e+02,1.331285617683219513e+00
2.304609591227774956e+02,1.584291517618085177e+00
2.317950432502683782e+02,1.685600337857342534e+00
2.331291273777592608e+02,1.399530167093596011e+00
2.344632115052501433e+02,1.661118876020864166e+00
2.357972956327410259e+02,1.433966983491746117e+00
2.371313797602319084e+02,1.449500504020853953e+00
2.384654638877227910e+02,2.357509785043276018e+00
2.397995480152136736e+02,1.485987340403873258e+00
2.411336321427045561e+02,1.735746642165147513e+00
2.424677162701954387e+02,1.502814221180942322e+00
2.438018003976863213e+02,1.531197759683862625e+00
2.451358845251772038e+02,2.363272716760392189e+00
